line,incidents,delays,num_sched_trips,On Time Performance,delay_rate
B,11616,83913,1803629,72.49770642201835,4.6524534701981395
F,115330,743580,15995768,74.57885085574573,4.648604555905037
C,64932,411888,9118846,73.10506798516687,4.516887334208737
2,124934,672336,15341308,71.68593563766389,4.382520708143009
N,123330,823696,19554666,73.52443384982122,4.212273428756083
A,142684,748691,18085284,74.76100998238402,4.139780166017852
D,98090,526432,13267916,77.65583634175692,3.9677067596749938
E,81356,651256,16584068,80.05834378920953,3.926997887369975
Q,92670,538444,15462378,80.0688622754491,3.482284548987226
R,67582,430912,12873156,82.27942998760842,3.3473687415890865
4,101080,526168,17002714,80.7721212121212,3.0946118366750155
6,128304,709248,23495520,82.75213154689403,3.018652066436495
5,63698,394346,13904330,85.07536764705883,2.8361380951113793
3,67090,362024,12909356,81.5177261613692,2.8043536796103536
1,97682,525264,20533402,86.7864077669903,2.55809534143441
M,38912,281312,11527898,89.57820855614973,2.440271418085066
G,53202,307316,12855840,88.07522697795072,2.3904777906383403
7,57908,422644,26293272,91.01645569620253,1.6074226136632976
L,37072,331200,22828902,92.69565217391305,1.4507925085490314
