Month,incidents,delays,Delay Rate,On Time Performance
January,133760,818008,3.1463189390008575,81.47191684989006
February,132296,800299,3.3558395286941205,79.39856230031948
March,131711,760430,3.07407674814643,81.92176039119805
April,113991,691935,3.1157991983178146,81.29171974522293
May,127202,720397,2.9296280406099213,82.8159786403779
June,132456,767496,3.1251178287537256,81.2217607973422
July,136802,830951,3.2502706567271624,81.45712523133868
August,131101,802580,3.1232395829620194,81.59810777457837
September,124497,798438,3.235417053734583,80.70780547609317
October,133939,838453,3.199059175877688,81.00040567951318
November,128437,772596,3.134661215049016,81.53742606567408
December,141280,889087,3.3297477444196413,80.2634281200632
